symbol,device_id_stems,query_type,device_index,opcode,arg1,arg2,elem_index,data_offset,elem_length,subelem_length
gpu_nvlink_number,GPU,Passthrough,x,0x1A,0x00,0x00,0,0,64,32
gpu_nvlink_state_v1,GPU;NVLink,Passthrough,x,0x1A,0x01,page,x1,0,1,1
gpu_nvlink_state_v1_agg,GPU,Passthrough,x,0x1A,0x01,0xFF,0,0,64,32
gpu_nvlink_bandwidth,GPU;NVLink,Passthrough,x,0x1A,0x02,page,x1,0,32,32
gpu_nvlink_bandwidth_agg,GPU,Passthrough,x,0x1A,0x02,0xFF,0,0,64,32
gpu_nvlink_replay_error_count,GPU;NVLink,Passthrough,x,0x1A,0x03,x1,x1,0,64,32
gpu_nvlink_replay_error_count_agg,GPU,Passthrough,x,0x1A,0x03,0xFF,0,0,64,32
gpu_nvlink_recovery_error_count,GPU;NVLink,Passthrough,x,0x1A,0x04,x1,x1,0,64,32
gpu_nvlink_recovery_error_count_agg,GPU,Passthrough,x,0x1A,0x04,0xFF,0,0,64,32
gpu_nvlink_flit_CRC_error_count,GPU;NVLink,Passthrough,x,0x1A,0x05,x1,x1,0,64,32
gpu_nvlink_flit_CRC_error_count_agg,GPU,Passthrough,x,0x1A,0x05,0xFF,0,0,64,32
gpu_nvlink_data_CRC_error_count,GPU;NVLink,Passthrough,x,0x1A,0x06,x1,x1,0,64,32
gpu_nvlink_data_CRC_error_count_agg,GPU,Passthrough,x,0x1A,0x06,0xFF,0,0,64,32
gpu_nvlink_state_v2,GPU;NVLink,Passthrough,x,0x1A,0x07,page,x1,0,4,4
gpu_nvlink_state_v2_agg,GPU,Passthrough,x,0x1A,0x07,0xFF,0,0,64,32
gpu_nvlink_sublink_width_tx,GPU;NVLink,Passthrough,x,0x1A,0x08,page,x1,0,6,3
gpu_nvlink_sublink_width_rx,GPU;NVLink,Passthrough,x,0x1A,0x08,page,x1,3,6,3
gpu_nvlink_transmitted_data_throughput,GPU;NVLink,Passthrough,x,0x1A,0x09,x1,0,0,64,64
gpu_nvlink_received_data_throughput,GPU;NVLink,Passthrough,x,0x1A,0x0A,x1,0,0,64,64
gpu_nvlink_transmitted_data_throughput_protocol,GPU;NVLink,Passthrough,x,0x1A,0x0B,x1,0,0,64,64
gpu_nvlink_received_data_throughput_protocol,GPU;NVLink,Passthrough,x,0x1A,0x0C,x1,0,0,64,64
gpu_nvlink_availability,GPU;NVLink,Passthrough,x,0x1A,0x0F,page,x1,0,1,1
pcieretimer_eeprom_wp_status,PCIeRetimer,PassthroughFpga,0,0xB4,0xFE,0x00,x,0,1,1
nvswitch_eeprom_wp_status,NVSwitch,PassthroughFpga,0,0xB4,0xFE,0x00,x,8,1,1
gpu_spiflash_wp_status,GPU,PassthroughFpga,0,0xB4,0xFE,0x00,x,12,1,1
hmc_spiflash_wp_status,HMC,PassthroughFpga,0,0xB4,0xFE,0x00,0,20,1,1
pcieswitch_eeprom_wp_status,PCIeSwitch,PassthroughFpga,0,0xB4,0xFF,0x00,0,5,1,1
pcieswitch_spi_mode_status,PCIeSwitch,PassthroughFpga,0,0xB4,0xFF,0x00,0,6,1,1
nvswitch_nvlink_number,NVSwitch,PassthroughNvswitch,x,0x1A,0x00,0x00,0,0,64,32
nvswitch_nvlink_state_v1,NVSwitch;NVLink,PassthroughNvswitch,x,0x1A,0x01,page,x1,0,1,1
nvswitch_nvlink_state_v1_agg,NVSwitch,PassthroughNvswitch,x,0x1A,0x01,0xFF,0,0,64,32
nvswitch_nvlink_bandwidth,NVSwitch;NVLink,PassthroughNvswitch,x,0x1A,0x02,page,x1,0,32,32
nvswitch_nvlink_bandwidth_agg,NVSwitch,PassthroughNvswitch,x,0x1A,0x02,0xFF,0,0,64,32
nvswitch_nvlink_replay_error_count,NVSwitch;NVLink,PassthroughNvswitch,x,0x1A,0x03,x1,x1,0,64,32
nvswitch_nvlink_replay_error_count_agg,NVSwitch,PassthroughNvswitch,x,0x1A,0x03,0xFF,0,0,64,32
nvswitch_nvlink_recovery_error_count,NVSwitch;NVLink,PassthroughNvswitch,x,0x1A,0x04,x1,x1,0,64,32
nvswitch_nvlink_recovery_error_count_agg,NVSwitch,PassthroughNvswitch,x,0x1A,0x04,0xFF,0,0,64,32
nvswitch_nvlink_flit_CRC_error_count,NVSwitch;NVLink,PassthroughNvswitch,x,0x1A,0x05,x1,x1,0,64,32
nvswitch_nvlink_flit_CRC_error_count_agg,NVSwitch,PassthroughNvswitch,x,0x1A,0x05,0xFF,0,0,64,32
nvswitch_nvlink_data_CRC_error_count,NVSwitch;NVLink,PassthroughNvswitch,x,0x1A,0x06,x1,x1,0,64,32
nvswitch_nvlink_data_CRC_error_count_agg,NVSwitch,PassthroughNvswitch,x,0x1A,0x06,0xFF,0,0,64,32
nvswitch_nvlink_state_v2,NVSwitch;NVLink,PassthroughNvswitch,x,0x1A,0x07,page,x1,0,4,4
nvswitch_nvlink_state_v2_agg,NVSwitch,PassthroughNvswitch,x,0x1A,0x07,0xFF,0,0,64,32
nvswitch_nvlink_sublink_width_tx,NVSwitch;NVLink,PassthroughNvswitch,x,0x1A,0x08,page,x1,0,6,3
nvswitch_nvlink_sublink_width_rx,NVSwitch;NVLink,PassthroughNvswitch,x,0x1A,0x08,page,x1,3,6,3
nvswitch_nvlink_transmitted_data_throughput,NVSwitch;NVLink,PassthroughNvswitch,x,0x1A,0x09,x1,0,0,64,64
nvswitch_nvlink_received_data_throughput,NVSwitch;NVLink,PassthroughNvswitch,x,0x1A,0x0A,x1,0,0,64,64
nvswitch_nvlink_transmitted_data_throughput_protocol,NVSwitch;NVLink,PassthroughNvswitch,x,0x1A,0x0B,x1,0,0,64,64
nvswitch_nvlink_received_data_throughput_protocol,NVSwitch;NVLink,PassthroughNvswitch,x,0x1A,0x0C,x1,0,0,64,64
nvswitch_nvlink_training_error_count_status,NVSwitch;NVLink,PassthroughNvswitch,x,0x1A,0x0D,page,x1,0,1,1
nvswitch_nvlink_training_error_count_status_agg,NVSwitch,PassthroughNvswitch,x,0x1A,0x0D,0xFF,0,0,64,32
nvswitch_nvlink_runtime_error_count_status,NVSwitch;NVLink,PassthroughNvswitch,x,0x1A,0x0E,page,x1,0,1,1
nvswitch_nvlink_runtime_error_count_status_agg,NVSwitch,PassthroughNvswitch,x,0x1A,0x0E,0xFF,0,0,64,32
